price_main,title,rooms,area,floor,building_type,materials,year,district
15320000 грн,"просп. Голосіївський, 106/2",3 кімнати,95.5 / 63 / 10 м²,поверх 2 з 5,сталінка,цегляний будинок,1952,Голосіїво
1512850 грн,"вул. Володі Дубініна, 14",1 кімната,30 / 16 / 6 м²,поверх 5 з 5,хрущівка,цегляний будинок,1967,Голосіїво
4787500 грн,"просп. Голосіївський, 130/57",1 кімната,52 / 20 / 12 м²,поверх 4 з 14,спец. проект,монолітно-каркасний,2005,Голосіїво
3044850 грн,"вул. Максимовича, 32а",1 кімната,39 / 10 / 22 м²,поверх 18 з 23,спец. проект,монолітно-каркасний,2021,Голосіїво
9000500 грн,"вул. Ломоносова, 71в",2 кімнати,83 / 36 / 18 м²,поверх 10 з 10,спец. проект,монолітно-каркасний,2017,Голосіїво
7277000 грн,"вул. Героїв Оборони, 10а",2 кімнати,73 / 35 / 20 м²,поверх 17 з 22,спец. проект,монолітно-каркасний,2008,Голосіїво
3638500 грн,"вул. Максимовича, 32а",1 кімната,49 / 14 / 22 м²,поверх 18 з 23,спец. проект,монолітно-каркасний,2021,Голосіїво
4251300 грн,"вул. Максимовича, 32а",3 кімнати,111 / 63 / 19 м²,поверх 4 з 23,спец. проект,монолітно-каркасний,2021,Голосіїво
11413400 грн,"вул. Ломоносова, 75а",4 кімнати,163 / 100 / 39.7 м²,поверх 6 з 19,спец. проект,монолітно-каркасний,2010,Голосіїво
1915000 грн,"вул. Сєченова, 10к1",2 кімнати,45 / 30 / 7 м²,поверх 5 з 5,хрущівка,цегляний будинок,1965,Голосіїво
2527762 грн,"вул. Максимовича, 26",1 кімната,41 / 15 / 14 м²,поверх 18 з 21,спец. проект,цегляний будинок,2018,Голосіїво
2642700 грн,"вул. Васильківська, 18",1 кімната,49.5 / 21 / 12 м²,поверх 1 з 18,спец. проект,монолітно-каркасний,2002,Голосіїво
9613300 грн,"вул. Ломоносова, 75а",3 кімнати,106 / 55 / 14 м²,поверх 6 з 19,спец. проект,монолітно-каркасний,2010,Голосіїво
